"END-07,Endpoint Security,Application allowlisting,""Control approved applications."",Preventive,Operating Effectiveness,Endpoint/Security,Continuous,Allowlist policy/config,Test that unauthorized applications are blocked.,Malicious or unauthorized software"
"END-08,Endpoint Security,Endpoint hardening baseline,""Apply standard security configurations."",Preventive,Both,Endpoint/IT Operations,Continuous,Baseline compliance report,Compare endpoints against hardened baseline.,Misconfiguration exposure"
"END-09,Endpoint Security,Endpoint patch compliance,""Keep endpoint operating systems and apps patched."",Corrective,Operating Effectiveness,Endpoint/IT Operations,Monthly,Patch compliance report,Review patch levels and overdue devices.,Exploitation of known vulnerabilities"
"END-10,Endpoint Security,Endpoint isolation capability,""Support rapid containment of compromised endpoints."",Corrective,Operating Effectiveness,SOC/Endpoint Security,Continuous,EDR containment procedures,Verify isolation can be executed and documented.,Spread of active compromise"
"SRV-01,Server Security,Server build standard,""Build servers from approved hardened templates."",Preventive,Both,Server Operations,Per Build,Build templates and deployment records,Confirm new servers use approved build standards.,Insecure ad hoc builds"
"SRV-02,Server Security,OS hardening baseline,""Apply server security baseline settings."",Preventive,Both,Server Operations,Continuous,Hardening compliance report,Check benchmark or baseline compliance on samples.,Excess attack surface"
"SRV-03,Server Security,Admin access restriction,""Limit server access to authorized administrators."",Preventive,Both,Server Operations,Continuous,Access logs and group membership,Verify only approved admin groups can access servers.,Unauthorized server changes"
"SRV-04,Server Security,Service account control,""Use least privilege for service accounts."",Preventive,Both,Application Owner/Server Ops,Annual/On Change,Service account inventory and permissions,Review permissions and confirm no interactive use unless approved.,Privilege abuse by service accounts"
"SRV-05,Server Security,Server patch compliance,""Patch servers within defined timelines."",Corrective,Operating Effectiveness,Server Operations,Monthly,Patch compliance dashboard,Sample servers to validate patch status and overdue remediation.,Known-vulnerability exploitation"
"SRV-06,Server Security,Server logging enablement,""Enable security and system logs."",Detective,Operating Effectiveness,Server Operations/SOC,Continuous,Event log configuration,Verify logs are enabled, retained, and forwarded.,Loss of forensic visibility"
"SRV-07,Server Security,Remote access restriction,""Restrict RDP/SSH and administrative interfaces."",Preventive,Both,Network/Server Ops,Continuous,Firewall and access policy evidence,Confirm remote admin access is limited and logged.,Unauthorized remote entry"
"SRV-08,Server Security,IIS/application hardening,""Secure web/application server roles."",Preventive,Both,AppOps/Server Ops,Continuous,IIS config and hardening checklist,Check unnecessary features, headers, and modules are removed.,Web server compromise"
"SRV-09,Server Security,Server role minimization,""Install only required server roles and features."",Preventive,Both,Server Operations,Per Build,Build validation checklist,Verify servers run only needed roles/features.,Expanded attack surface"
"SRV-10,Server Security,Server monitoring and alerting,""Monitor availability, performance, and security events."",Detective,Operating Effectiveness,SOC/Server Ops,Continuous,Monitoring dashboards and alerts,Confirm critical thresholds and security events alert appropriately.,Delayed detection of outages or attacks"
"VUL-01,Vulnerability Management,Authenticated scanning,""Perform authenticated vulnerability scans."",Detective,Operating Effectiveness,Vulnerability Management,Monthly/Quarterly,Scan reports,Validate scans are authenticated and cover in-scope assets.,Incomplete vulnerability visibility"
"VUL-02,Vulnerability Management,Scheduled scan cadence,""Scan assets on a defined recurring schedule."",Detective,Operating Effectiveness,Vulnerability Management,Monthly/Quarterly,Scan schedule and run history,Check scans occur on time and missed scans are tracked.,Blind spots in exposure"
"VUL-03,Vulnerability Management,Critical vuln remediation SLA,""Remediate critical vulnerabilities quickly."",Corrective,Operating Effectiveness,IT Ops/App Owners,Per SLA,Remediation tracker,Confirm critical findings meet SLA or have approved exception.,Rapid exploitation of critical flaws"
"VUL-04,Vulnerability Management,Risk-based prioritization,""Prioritize based on exploitability and exposure."",Detective,Both,Vulnerability Management,Continuous,Prioritization rules and reports,Review that critical internet-facing and exploitable issues are prioritized.,Misallocated remediation effort"
"VUL-05,Vulnerability Management,False positive validation,""Validate findings before closure."",Detective,Operating Effectiveness,Vulnerability Management,Per Finding,Validation evidence,Check closure requires proof or documented validation.,Incorrect closure of real issues"
"VUL-06,Vulnerability Management,Scan coverage validation,""Ensure all in-scope assets are scanned."",Detective,Operating Effectiveness,Vulnerability Management,Monthly,Asset-to-scan coverage report,Reconcile inventory against scanned assets.,Unscanned vulnerable assets"
"VUL-07,Vulnerability Management,Exception tracking,""Document and approve vulnerability exceptions."",Corrective,Operating Effectiveness,Risk/Compliance,Vulnerability review cycle,Exception register,Verify exceptions have compensating controls and expiry.,Permanent exposure without oversight"
"VUL-08,Vulnerability Management,Penetration testing linkage,""Use penetration tests to validate exposure."",Detective,Both,Security Testing,Annual,Pen test report,Check findings are mapped to remediation and retest.,Undiscovered attack paths"
"VUL-09,Vulnerability Management,Remediation verification,""Confirm fixes after patching or configuration changes."",Detective,Operating Effectiveness,Vulnerability Management,Per Remediation,Retest evidence,Validate issues are rescanned and cleared.,Assumed but unverified remediation"
"VUL-10,Vulnerability Management,Vulnerability reporting,""Report trends and overdue items to stakeholders."",Detective,Operating Effectiveness,Vulnerability Management,Monthly,Management report,Confirm metrics and overdue items are escalated.,Poor visibility into risk"
"PAT-01,Patch Management,Patch policy and schedule,""Define patch cadence by severity and system type."",Preventive,Both,IT Operations/Security,Annual,Patch policy,Verify policy defines timelines by severity and asset class.,Inconsistent patching"
"PAT-02,Patch Management,Testing before deployment,""Test patches in staging before broad rollout."",Preventive,Both,IT Operations,Per Release,Test results and pilot reports,Check staging or pilot validation exists before production.,Patch-induced outages"
"PAT-03,Patch Management,Emergency patch process,""Fast-track critical security fixes."",Corrective,Operating Effectiveness,IT Operations/Security,Per Event,Emergency change records,Review expedited approvals and deployment timing.,Delayed response to critical threats"
"PAT-04,Patch Management,Patch compliance tracking,""Measure patch status by asset group."",Detective,Operating Effectiveness,IT Operations/Security,Monthly,Compliance dashboard,Check coverage and overdue remediation by platform.,Unknown patch gaps"
"PAT-05,Patch Management,Unsupported software management,""Identify and retire unsupported products."",Corrective,Operating Effectiveness,IT Operations/Architecture,Quarterly,End-of-life register,Confirm unsupported systems are tracked and migrated or isolated.,Unpatchable legacy risk"
"PAT-06,Patch Management,Rollback planning,""Prepare rollback steps for failed updates."",Preventive,Both,IT Operations,Per Change,Rollback plan in change records,Verify backout steps exist for significant changes.,Extended outages after failed patching"
"PAT-07,Patch Management,Maintenance window governance,""Deploy changes in approved windows."",Preventive,Operating Effectiveness,Change Management/IT Ops,Per Change,Change calendar and approvals,Confirm patches occur in authorized windows.,Service disruption"
"PAT-08,Patch Management,Reboot enforcement,""Ensure required restarts occur after patching."",Corrective,Operating Effectiveness,IT Operations,Per Patch Cycle,Restart compliance report,Check reboot-required updates were completed and verified.,Partially patched systems"
"PAT-09,Patch Management,Third-party software patching,""Patch browsers, runtimes, and non-OS apps."",Preventive,Operating Effectiveness,IT Operations,Monthly,Third-party patch report,Confirm application patching is included in scope.,Exploitable third-party software"
"PAT-10,Patch Management,Patch failure remediation,""Investigate and resolve failed patch installs."",Corrective,Operating Effectiveness,IT Operations,Per Failure,Failed patch ticket log,Review failure rates and remediation actions.,Persistent unpatched systems"
"NET-01,Network Security,Network segmentation,""Separate user, server, and sensitive zones."",Preventive,Both,Network Engineering,Annual/On Change,Network diagrams and ACLs,Validate segmentation aligns to zone design.,Lateral movement and blast radius"
"NET-02,Network Security,Firewall rule management,""Approve and review network rules."",Preventive,Operating Effectiveness,Network Engineering/Security,Quarterly,Firewall rule review evidence,Sample rules for business justification and expiry.,Unnecessary exposed services"
"NET-03,Network Security,VPN security control,""Protect remote access with secure VPN standards."",Preventive,Both,Network/Security,Continuous,VPN policy and authentication logs,Verify strong auth and approved access policies exist.,Unsafe remote connectivity"
"NET-04,Network Security,Secure DNS configuration,""Reduce DNS abuse and tampering risk."",Preventive,Both,Network Engineering,Continuous,DNS settings and filtering logs,Check DNS security controls and filtering are enabled.,Phishing, malware, and spoofing"
"NET-05,Network Security,IDS/IPS monitoring,""Detect malicious network activity."",Detective,Operating Effectiveness,SOC/Network Security,Continuous,IDS/IPS alerts,Confirm alerts are reviewed and high-severity events escalated.,Undetected network attacks"
"NET-06,Network Security,Network device hardening,""Secure routers, switches, and firewalls."",Preventive,Both,Network Engineering,Annual,Hardening checklist,Validate management services, credentials, and configs are hardened.,Device compromise"
"NET-07,Network Security,Administrative access restriction,""Limit management access to network devices."",Preventive,Both,Network Engineering,Continuous,Access control lists and admin logs,Check only approved admin sources can manage devices.,Unauthorized config changes"
"NET-08,Network Security,Wireless security control,""Secure wireless networks and authentication."",Preventive,Both,Network Engineering,Annual,Wireless config and auth settings,Validate encryption and access controls are configured.,Unauthorized wireless access"
"NET-09,Network Security,East-west traffic monitoring,""Monitor internal lateral movement risk."",Detective,Operating Effectiveness,SOC/Network Security,Continuous,Network monitoring dashboard,Confirm internal traffic anomalies are monitored.,Stealthy internal spread"
"NET-10,Network Security,Network configuration backup,""Back up and protect network device configs."",Corrective,Operating Effectiveness,Network Engineering,Daily/Weekly,Backup job logs and restore tests,Verify configs are backed up and recoverable.,Extended outage after device failure"
"Control ID,Domain,Control Name,Control Description,Control Type,Testing Methodology,Control Owner,Frequency,Evidence,Test Steps,Risk Addressed"
"CLD-01,Cloud Security,Cloud account governance,""Control cloud subscriptions, tenants, and projects."",Preventive,Both,Cloud Operations/Security,Continuous,Cloud account inventory,Verify all cloud accounts are inventoried and owned.,Shadow cloud environments"
"CLD-02,Cloud Security,Cloud IAM hardening,""Enforce least privilege in cloud environments."",Preventive,Both,Cloud Security/IAM,Continuous,Cloud IAM policies,Sample roles and confirm excessive permissions are not present.,Privilege escalation in cloud"
"CLD-03,Cloud Security,Cloud logging enablement,""Enable cloud audit and activity logs."",Detective,Operating Effectiveness,Cloud Operations/SOC,Continuous,Cloud audit logs,Confirm logs are enabled and forwarded to monitoring.,Loss of cloud visibility"
"CLD-04,Cloud Security,Cloud security posture review,""Review misconfigurations and exposures."",Detective,Operating Effectiveness,Cloud Security,Continuous,Posture management reports,Validate findings are tracked and remediated.,Cloud misconfiguration exposure"
"CLD-05,Cloud Security,Cloud resource tagging,""Standardize metadata for ownership and control."",Preventive,Both,Cloud Operations,Continuous,Tag compliance report,Check required tags exist for critical resources.,Poor accountability and lifecycle tracking"
"CLD-06,Cloud Security,Cloud key management,""Protect cloud secrets and encryption keys."",Preventive,Both,Cloud Security,Continuous,KMS/Key vault configuration,Verify key access is restricted and monitored.,Compromise of sensitive secrets"
"CLD-07,Cloud Security,Public exposure review,""Detect and remediate public-facing resources."",Detective,Operating Effectiveness,Cloud Security/Operations,Continuous,Exposure scan results,Confirm public assets are approved or removed.,Unintended internet exposure"
"CLD-08,Cloud Security,Cloud network restriction,""Restrict inbound/outbound cloud traffic."",Preventive,Both,Cloud Network Engineering,Continuous,Security group/NACL/firewall rules,Review rules for least privilege and business need.,Unauthorized access paths"
"CLD-09,Cloud Security,Cloud backup and recovery,""Protect cloud-hosted workloads and data."",Corrective,Operating Effectiveness,Cloud Operations,Continuous,Backup configuration and restore tests,Verify cloud backup jobs run and restores succeed.,Cloud data loss or service outage"
"CLD-10,Cloud Security,Cloud workload hardening,""Secure cloud VMs, containers, and services."",Preventive,Both,Cloud Operations/Security,Continuous,Hardening baseline reports,Sample workloads and compare to baseline.,Compromise of cloud workloads"
"M365-01,Microsoft 365 Security,Tenant secure baseline,""Apply Microsoft 365 security baseline settings."",Preventive,Both,M365 Admin/Security,Continuous,M365 baseline compliance report,Compare tenant settings to approved baseline.,Weak tenant posture"
"M365-02,Microsoft 365 Security,Exchange Online protection,""Protect email against phishing and malware."",Preventive,Both,Messaging/Security,Continuous,Defender/Exchange reports,Verify anti-phishing, anti-malware, and safe links policies are enabled.,Email-based compromise"
"M365-03,Microsoft 365 Security,SharePoint/OneDrive sharing control,""Restrict external sharing appropriately."",Preventive,Both,M365 Admin/Data Owners,Continuous,Sharing policy settings,Confirm external sharing is approved and limited.,Data leakage via file sharing"
"M365-04,Microsoft 365 Security,Teams governance,""Control Teams creation, guest access, and lifecycle."",Preventive,Both,Collaboration Admin/Security,Continuous,Teams policy and lifecycle records,Check creation, guest, and expiration policies are enforced.,Uncontrolled collaboration sprawl"
"M365-05,Microsoft 365 Security,Defender for Office 365,""Use advanced email threat protection."",Preventive,Operating Effectiveness,Messaging/Security,Continuous,Defender policy and alert logs,Verify policies and threat detections are active.,Advanced phishing and malware"
"M365-06,Microsoft 365 Security,Microsoft 365 audit logging,""Enable and retain audit logs."",Detective,Operating Effectiveness,M365 Admin/SOC,Continuous,Audit log settings and retention,Confirm audit logging is enabled and retained per policy.,Insufficient forensic records"
"M365-07,Microsoft 365 Security,MFA and conditional access,""Require strong identity protections."",Preventive,Both,IAM/Security,Continuous,Conditional access policies,Verify MFA and device/location/risk policies are applied.,Account compromise"
"M365-08,Microsoft 365 Security,Admin role minimization,""Restrict tenant admin roles."",Preventive,Both,M365 Admin/IAM,Continuous,Role assignment report,Sample admins and verify least privilege access.,Excess tenant administration"
"M365-09,Microsoft 365 Security,Mailbox access review,""Review delegated and privileged mailbox access."",Detective,Operating Effectiveness,Messaging Admin,Quarterly,Mailbox permissions report,Check delegated access is appropriate and reviewed.,Unauthorized mailbox access"
"M365-10,Microsoft 365 Security,DLP policy enforcement,""Prevent inappropriate data sharing."",Preventive,Operating Effectiveness,Security/Data Protection,Continuous,DLP policy and incident logs,Validate DLP policies trigger and incidents are reviewed.,Sensitive data exfiltration"
"LOG-01,Logging & Monitoring,Centralized log collection,""Send logs to a central platform."",Detective,Operating Effectiveness,SOC/Infrastructure,Continuous,SIEM ingestion status,Confirm key systems forward logs to central monitoring.,Fragmented visibility"
"LOG-02,Logging & Monitoring,Log retention standard,""Retain logs according to policy and regulation."",Preventive,Both,SOC/Compliance,Annual,Retention configuration,Verify retention meets policy and legal needs.,Lost investigation evidence"
"LOG-03,Logging & Monitoring,Security alert triage,""Review and respond to alerts promptly."",Detective,Operating Effectiveness,SOC,Continuous,Alert queue and case records,Sample alerts and confirm timely triage and closure.,Delayed threat response"
"LOG-04,Logging & Monitoring,Time synchronization,""Ensure consistent timestamps across systems."",Preventive,Both,Infrastructure/Server Ops,Continuous,NTP configuration,Check time sync is configured and operating correctly.,Broken event correlation"
"LOG-05,Logging & Monitoring,Critical event monitoring,""Alert on high-value events and anomalies."",Detective,Operating Effectiveness,SOC,Continuous,Alert rules and cases,Validate critical event use cases are covered and tested.,Missed intrusions"
"LOG-06,Logging & Monitoring,Log integrity protection,""Protect logs from unauthorized change."",Preventive,Both,SOC/Infrastructure,Continuous,Access controls and retention settings,Review permissions and immutability protections.,Tampered evidence"
"LOG-07,Logging & Monitoring,Monitoring coverage review,""Verify critical systems are monitored."",Detective,Operating Effectiveness,SOC/Infrastructure,Quarterly,Monitoring coverage matrix,Check all critical assets have monitoring assigned.,Unmonitored critical assets"
"LOG-08,Logging & Monitoring,Use case tuning,""Tune alerts to reduce noise and misses."",Detective,Operating Effectiveness,SOC,Monthly,Tuning records and alert metrics,Review false positives and missed detections.,Alert fatigue or blind spots"
"LOG-09,Logging & Monitoring,SIEM correlation rules,""Detect multi-event attack patterns."",Detective,Operating Effectiveness,SOC,Continuous,SIEM correlation content,Test sample detections and escalation paths.,Sophisticated attacks undetected"
"LOG-10,Logging & Monitoring,Monitoring exception tracking,""Track systems not sending logs or alerts."",Detective,Operating Effectiveness,SOC/Infrastructure,Continuous,Exception tracker,Verify exceptions are approved and temporary.,Logging gaps"
"BCP-01,Backup & Recovery,Backup policy,""Define backup scope, frequency, and retention."",Preventive,Both,Infrastructure/DR,Annual,Backup policy document,Verify policy covers systems, data, and retention periods.,Inconsistent recovery planning"
"BCP-02,Backup & Recovery,Backup encryption,""Encrypt backups at rest and in transit."",Preventive,Both,Infrastructure/DR,Continuous,Backup configuration,Check encryption settings are enabled and keys protected.,Backup data exposure"
"BCP-03,Backup & Recovery,Backup immutability,""Protect backups from deletion or tampering."",Preventive,Both,Infrastructure/DR,Continuous,Immutable backup settings,Verify immutable or air-gapped backups exist.,Ransomware destroying backups"
"BCP-04,Backup & Recovery,Restore testing,""Test restoration on a recurring schedule."",Corrective,Operating Effectiveness,Infrastructure/DR,Quarterly,Restore test results,Confirm restore tests were successful and documented.,False assumption of recoverability"
"BCP-05,Backup & Recovery,Critical system coverage,""Include important systems and data in backups."",Preventive,Both,Infrastructure Owners,Continuous,Backup scope report,Sample critical systems to verify they are protected.,Unrecoverable critical systems"
"BCP-06,Backup & Recovery,Offsite backup storage,""Keep copies separate from production."",Preventive,Both,Infrastructure/DR,Continuous,Backup storage architecture,Verify offsite or separate recovery location exists.,Site-wide loss event"
"BCP-07,Backup & Recovery,Recovery point objective,""Define acceptable data loss thresholds."",Preventive,Both,Business Continuity/DR,Annual,RPO definitions,Confirm RPO is defined and aligned to business needs.,Excessive data loss tolerance"
"BCP-08,Backup & Recovery,Recovery time objective,""Define acceptable downtime thresholds."",Preventive,Both,Business Continuity/DR,Annual,RTO definitions,Verify RTO is documented and tested.,Excessive outage duration"
"BCP-09,Backup & Recovery,Backup job monitoring,""Alert on failed or incomplete backups."",Detective,Operating Effectiveness,Infrastructure/DR,Daily,Backup monitoring alerts,Check failed jobs are investigated and retried.,Silent backup failures"
"BCP-10,Backup & Recovery,Disaster recovery validation,""Test DR plans for critical services."",Corrective,Operating Effectiveness,DR/Infrastructure,Annual,DR exercise reports,Verify DR exercises occurred and gaps were remediated.,Unproven disaster readiness"
"IR-01,Incident Response,Incident response plan,""Maintain a documented response process."",Preventive,Both,Security Operations,Annual,IR plan document,Verify the plan is current and approved.,Uncoordinated response"
"IR-02,Incident Response,Incident classification,""Categorize incidents by severity and type."",Detective,Operating Effectiveness,Security Operations,Continuous,Incident taxonomy,Check incidents are classified consistently.,Improper prioritization"
"IR-03,Incident Response,Response team roles,""Assign roles for containment, analysis, and communications."",Preventive,Both,Security Leadership,Annual,RACI or IR roster,Confirm roles are assigned and understood.,Confusion during incidents"
"IR-04,Incident Response,Escalation procedures,""Escalate major incidents quickly."",Corrective,Operating Effectiveness,Security Operations,Continuous,Escalation matrix,Test whether severe incidents trigger escalation as defined.,Delayed leadership awareness"
"IR-05,Incident Response,Evidence preservation,""Preserve forensic evidence properly."",Corrective,Operating Effectiveness,Security Operations/Legal,Per Incident,Chain-of-custody records,Verify evidence handling procedures are followed.,Loss of admissible evidence"
"IR-06,Incident Response,Tabletop exercises,""Test incident response readiness."",Preventive,Both,Security Leadership,Annual,Tabletop exercise records,Confirm exercises occur and action items are tracked.,Unpracticed response team"
"IR-07,Incident Response,Breach notification workflow,""Define legal and stakeholder notification steps."",Preventive,Both,Legal/Security/Comms,Annual,Notification workflow,Review timing and approval requirements for notifications.,Late or improper disclosure"
"IR-08,Incident Response,Root cause analysis,""Determine cause and preventive actions."",Corrective,Operating Effectiveness,Security Operations/IT,Per Incident,Post-incident RCA,Check RCAs identify cause and remediation owners.,Recurring incidents"
"IR-09,Incident Response,Lessons learned review,""Capture improvements after incidents."",Corrective,Operating Effectiveness,Security Operations,Per Incident,Lessons learned meeting notes,Verify actions are recorded and tracked.,Repeated mistakes"
"IR-10,Incident Response,Incident tracking and closure,""Record response actions and formal closure."",Detective,Operating Effectiveness,Security Operations,Continuous,Incident case records,Sample closed incidents and confirm closure criteria met.,Incomplete incident records"


"Control ID,Domain,Control Name,Control Description,Control Type,Testing Methodology,Framework Mapping,Control Owner,Frequency,Evidence,Test Steps,Risk Addressed"
"GOV-01,Governance,Security governance charter,""Define security oversight, responsibilities, and decision rights."",Preventive,Both,""ISO 27001 A.5.1; NIST CSF GV.OC-01; CIS 17.1; SOC 2 CC1.1"",CISO/Head of Security,Annual,Approved governance charter,Verify charter exists, is approved, and references decision-making authority.,Lack of security accountability"
"GOV-02,Governance,Security policy framework,""Maintain approved security policies, standards, and procedures."",Preventive,Both,""ISO 27001 A.5.1; NIST CSF GV.PO-01; CIS 17.2; SOC 2 CC2.1"",Security Governance,Annual/On Change,Policy register and approved policy documents,Check policy inventory, approvals, and review dates.,Inconsistent security practices"
"GOV-03,Governance,Security roles and responsibilities,""Assign accountability for control ownership and execution."",Preventive,Both,""ISO 27001 A.5.2; NIST CSF GV.OC-02; CIS 17.1; SOC 2 CC1.2"",Security Governance,Annual,Role matrix or RACI,Sample key controls and verify named owners are assigned.,Gaps in ownership"
"GOV-04,Governance,Control exception management,""Track, approve, and review exceptions to security controls."",Corrective,Operating Effectiveness,""ISO 27001 A.5.36; NIST CSF GV.RM-03; CIS 17.6; SOC 2 CC3.2"",Risk/Compliance,Continuous,Exception log and approvals,Verify exceptions are time-bound, approved, and reviewed.,Uncontrolled control bypass"
"GOV-05,Governance,Security committee review,""Review risk, incidents, and security metrics on a recurring basis."",Detective,Operating Effectiveness,""ISO 27001 A.5.4; NIST CSF GV.OV-01; CIS 17.3; SOC 2 CC1.3"",Security Steering Committee,Monthly,Meeting minutes and action tracker,Confirm meetings occur and actions are tracked to closure.,Lack of leadership oversight"
"GOV-06,Governance,Security KPI/KRI reporting,""Measure and report control effectiveness and risk trends."",Detective,Operating Effectiveness,""ISO 27001 A.5.4; NIST CSF GV.OV-02; CIS 17.3; SOC 2 CC3.3"",Security Governance,Monthly,Security dashboard or metrics pack,Validate metrics are produced, reviewed, and acted upon.,Unknown control weakness trends"
"GOV-07,Governance,Control lifecycle management,""Review, update, and retire controls as business and technology change."",Preventive,Both,""ISO 27001 A.5.1; NIST CSF GV.OV-01; CIS 17.2; SOC 2 CC2.1"",Security Governance,Annual,Control review records,Check that controls are periodically reviewed and updated.,Outdated controls"
"GOV-08,Governance,Security awareness governance,""Define awareness program scope, frequency, and accountability."",Preventive,Both,""ISO 27001 A.6.3; NIST CSF PR.AT-01; CIS 14.1; SOC 2 CC2.2"",Security Awareness Lead,Annual,Awareness program plan,Verify program exists and is approved.,User susceptibility to threats"
"GOV-09,Governance,Security budget and resourcing,""Ensure security controls are funded and staffed."",Preventive,Both,""ISO 27001 A.5.1; NIST CSF GV.OV-01; CIS 17.1; SOC 2 CC1.1"",Security Leadership,Annual,Approved budget and staffing plan,Confirm budget/resources align to security needs.,Under-resourced security program"
"GOV-10,Governance,Security documentation management,""Keep security documents version-controlled and current."",Preventive,Operating Effectiveness,""ISO 27001 A.5.1; NIST CSF GV.PO-01; CIS 17.2; SOC 2 CC2.1"",Security Governance,Continuous,Document repository and version history,Sample documents for versioning and review dates.,Use of stale guidance"
"RSK-01,Risk Management,Enterprise risk register,""Maintain a centralized inventory of security risks."",Detective,Operating Effectiveness,""ISO 27001 A.5.9; NIST CSF GV.RM-01; CIS 17.4; SOC 2 CC3.2"",Risk Management,Continuous,Risk register,Verify risks are recorded with owners, ratings, and dates.,Untracked enterprise risks"
"RSK-02,Risk Management,Risk assessment methodology,""Use a standard method to evaluate likelihood and impact."",Preventive,Both,""ISO 27001 A.5.7; NIST CSF GV.RM-01; CIS 17.4; SOC 2 CC3.2"",Risk Management,Annual,Approved methodology document,Check the assessment method is documented and consistently used.,Inconsistent risk decisions"
"RSK-03,Risk Management,Risk acceptance approval,""Require formal approval for accepted risks."",Corrective,Operating Effectiveness,""ISO 27001 A.5.36; NIST CSF GV.RM-03; CIS 17.6; SOC 2 CC3.2"",Risk Owner/Senior Management,Per Risk,Accepted risk records,Confirm sign-off exists and expiration/review dates are defined.,Informal risk acceptance"
"RSK-04,Risk Management,Risk treatment tracking,""Track remediation, transfer, avoidance, or acceptance."",Corrective,Operating Effectiveness,""ISO 27001 A.5.36; NIST CSF GV.RM-03; CIS 17.4; SOC 2 CC3.2"",Risk Management,Continuous,Treatment plan tracker,Review open risks and confirm action plans are in place.,Stagnant risk remediation"
"RSK-05,Risk Management,Periodic risk review,""Reassess risks on a defined schedule or after major change."",Detective,Operating Effectiveness,""ISO 27001 A.5.7; NIST CSF GV.RM-01; CIS 17.4; SOC 2 CC3.2"",Risk Management,Quarterly,Risk review minutes,Verify reviews occur and changes are reflected.,Outdated risk posture"
"RSK-06,Risk Management,Third-party risk review,""Assess vendor security posture before onboarding and renewal."",Preventive,Both,""ISO 27001 A.5.19; NIST CSF GV.SC-01; CIS 15.1; SOC 2 CC3.1"",Vendor Risk/Procurement,Per Vendor Onboarding/Annual,Vendor assessment results,Check completed assessments and remediation follow-up.,Vendor-related security exposure"
"RSK-07,Risk Management,Threat-informed risk evaluation,""Incorporate current threats into risk decisions."",Detective,Operating Effectiveness,""ISO 27001 A.5.7; NIST CSF GV.RM-01; CIS 17.4; SOC 2 CC3.2"",Risk Management,Quarterly,Threat intel or risk review notes,Confirm recent threats influence risk prioritization.,Ignoring active threats"
"RSK-08,Risk Management,Control gap analysis,""Identify missing controls against a baseline or framework."",Detective,Both,""ISO 27001 A.5.36; NIST CSF GV.OV-01; CIS 17.1; SOC 2 CC2.1"",Security Governance,Annual,Gap assessment report,Verify gaps are documented with remediation plans.,Unknown control deficiencies"
"RSK-09,Risk Management,Residual risk reporting,""Report remaining risk after mitigation actions."",Detective,Operating Effectiveness,""ISO 27001 A.5.36; NIST CSF GV.RM-03; CIS 17.4; SOC 2 CC3.2"",Risk Management,Quarterly,Risk reporting pack,Ensure residual risk is visible to leadership.,Hidden unacceptable risk"
"RSK-10,Risk Management,Risk escalation process,""Escalate high-risk items to leadership in a timely manner."",Corrective,Operating Effectiveness,""ISO 27001 A.5.36; NIST CSF GV.RM-03; CIS 17.4; SOC 2 CC3.2"",Risk Management,Continuous,Escalation workflow,Test whether high risks are escalated within defined timelines.,Delayed decision-making"
"ASM-01,Asset Management,Hardware inventory,""Maintain a complete inventory of hardware assets."",Detective,Operating Effectiveness,""ISO 27001 A.5.9; NIST CSF ID.AM-01; CIS 1.1; SOC 2 CC3.1"",IT Asset Management,Continuous,Asset inventory report,Reconcile discovered hardware against inventory.,Unknown assets"
"ASM-02,Asset Management,Software inventory,""Maintain a complete inventory of approved software."",Detective,Operating Effectiveness,""ISO 27001 A.5.9; NIST CSF ID.AM-02; CIS 2.1; SOC 2 CC3.1"",IT Asset Management,Continuous,Software inventory report,Compare installed software to approved list.,Unauthorized software use"
"ASM-03,Asset Management,Cloud asset inventory,""Track cloud resources, subscriptions, and services."",Detective,Operating Effectiveness,""ISO 27001 A.5.9; NIST CSF ID.AM-05; CIS 1.2; SOC 2 CC3.1"",Cloud Operations,Continuous,Cloud inventory/export,Validate inventory includes active resources and owners.,Untracked cloud exposure"
"ASM-04,Asset Management,Asset ownership assignment,""Assign a business owner for each asset."",Preventive,Both,""ISO 27001 A.5.9; NIST CSF ID.AM-5; CIS 1.1; SOC 2 CC3.1"",IT Asset Management,Continuous,Asset register,Sample assets and verify owner is assigned.,No accountability for assets"
"ASM-05,Asset Management,Asset classification,""Classify assets by business criticality and sensitivity."",Preventive,Both,""ISO 27001 A.5.12; NIST CSF ID.BE-5; CIS 3.2; SOC 2 CC3.1"",Data/Asset Owners,Annual,Classification labels or records,Check classification is present and current.,Inappropriate protection levels"
"ASM-06,Asset Management,Asset lifecycle management,""Track assets from request to retirement."",Preventive,Both,""ISO 27001 A.5.9; NIST CSF ID.AM-1; CIS 1.1; SOC 2 CC3.1"",IT Asset Management,Continuous,Lifecycle records,Sample assets across lifecycle stages and verify records.,Lost or orphaned assets"
"ASM-07,Asset Management,Unauthorized asset detection,""Identify and remediate rogue or unapproved assets."",Detective,Operating Effectiveness,""ISO 27001 A.8.1; NIST CSF DE.CM-1; CIS 1.2; SOC 2 CC7.1"",Security Operations,Continuous,Discovery alerts and remediation log,Confirm rogue assets are investigated and removed.,Unknown unmanaged systems"
"ASM-08,Asset Management,Asset tagging standard,""Apply consistent tags for ownership, environment, and criticality."",Preventive,Both,""ISO 27001 A.5.9; NIST CSF ID.AM-5; CIS 1.2; SOC 2 CC3.1"",Cloud/IT Operations,Continuous,Tag compliance reports,Sample assets to confirm required tags are applied.,Poor traceability"
